# Pedejas izmainas/Last updated 09.01.2020.
ID,Total
1kmX346Y350,5
1kmX346Y351,5
1kmX347Y241,5
1kmX347Y242,5
1kmX347Y243,5
1kmX347Y245,40
1kmX347Y246,11
1kmX347Y248,5
1kmX347Y249,5
1kmX347Y251,5
1kmX347Y252,5
1kmX347Y253,69
1kmX347Y254,57
1kmX347Y255,5
1kmX347Y258,5
1kmX347Y260,5
1kmX347Y261,5
1kmX347Y262,5
1kmX347Y263,5
1kmX347Y264,5
1kmX347Y265,5
1kmX347Y266,5
1kmX347Y269,5
1kmX347Y271,5
1kmX347Y272,5
1kmX347Y273,5
1kmX347Y274,5
1kmX347Y275,5
1kmX347Y276,5
1kmX347Y277,11
1kmX347Y279,5
1kmX347Y280,5
1kmX347Y284,5
